Feature	HeLa-S3:WT_GFP_minus:24_h:R1	HeLa-S3:WT_GFP_minus:24_h:R2	HeLa-S3:WT_GFP_minus:24_h:R3	HeLa-S3:WT_GFP_plus:24_h:R1	HeLa-S3:WT_GFP_plus:24_h:R2	HeLa-S3:WT_GFP_plus:24_h:R3	HeLa-S3:mock_GFP_minus:24_h:R1	HeLa-S3:mock_GFP_minus:24_h:R2	HeLa-S3:mock_GFP_minus:24_h:R3	
ENSG00000223972	0	1	1	1	0	0	1	1	1	
ENSG00000227232	105	179	263	63	116	79	178	239	188	
ENSG00000243485	0	0	1	1	1	1	0	1	1	
ENSG00000237613	0	0	0	0	0	0	0	0	0	
ENSG00000268020	0	0	0	1	0	0	0	0	0	
ENSG00000240361	0	0	0	0	0	0	0	0	0	
ENSG00000186092	0	0	0	0	0	0	0	0	0	
ENSG00000238009	5	6	13	4	5	4	10	12	7	
ENSG00000239945	0	0	1	0	0	0	0	1	0	
ENSG00000233750	0	0	0	0	0	0	0	0	0	
ENSG00000237683	2	4	5	2	3	2	4	4	3	
ENSG00000268903	1	1	0	0	1	0	1	1	1	
ENSG00000269981	0	0	0	0	0	0	0	0	0	
ENSG00000239906	0	1	1	0	0	1	1	1	0	
ENSG00000241860	9	18	24	8	10	5	21	24	11	
ENSG00000222623	0	0	0	0	0	0	0	0	0	
ENSG00000241599	0	0	0	0	0	0	0	0	0	
ENSG00000228463	4	2	7	2	2	2	6	6	4	
ENSG00000241670	1	0	0	0	0	0	0	0	0	
ENSG00000237094	19	33	51	19	26	15	41	44	26	
ENSG00000250575	1	2	2	1	2	1	2	2	1	
ENSG00000233653	0	0	0	0	0	0	0	0	0	
ENSG00000224813	0	0	0	0	0	0	0	0	0	
ENSG00000235249	0	0	0	0	0	0	0	0	0	
ENSG00000269732	0	0	0	0	0	0	0	0	0	
ENSG00000256186	0	0	0	0	0	0	0	0	0	
ENSG00000236601	1	0	0	0	0	0	0	0	0	
ENSG00000236743	0	0	0	0	0	0	0	0	0	
ENSG00000236679	1	1	1	1	0	1	1	1	1	
ENSG00000231709	0	0	0	0	0	0	0	0	0	
ENSG00000235146	0	0	0	0	0	0	0	0	0	
ENSG00000239664	0	0	0	0	0	0	0	0	0	
ENSG00000230021	2323	1914	1230	12374	6359	15936	3068	3420	2378	
ENSG00000223659	0	0	0	0	0	0	0	0	0	
ENSG00000225972	315	447	485	837	659	1229	461	1122	301	
ENSG00000225630	589	637	498	2381	1635	3246	798	1364	695	
ENSG00000237973	1410	1549	1833	4476	3170	6028	1746	4419	1160	
ENSG00000229344	239	320	325	940	622	1088	338	764	188	
ENSG00000240409	16	21	16	113	66	121	29	54	13	
ENSG00000248527	345	420	324	1472	1019	1878	442	1024	210	
ENSG00000198744	122	135	124	681	436	793	154	296	109	
ENSG00000268663	0	0	0	0	0	0	0	0	0	
ENSG00000185097	0	0	0	0	0	0	0	0	0	
ENSG00000229376	1	0	0	0	0	0	0	0	0	
ENSG00000224956	2	5	6	2	5	1	4	3	2	
ENSG00000235373	6	10	15	4	6	3	15	15	10	
ENSG00000223181	1	0	1	0	0	0	1	0	0	
ENSG00000240618	1	2	3	1	1	1	3	3	1	
ENSG00000229905	0	0	0	0	0	0	0	0	0	
ENSG00000228327	10	10	12	5	9	3	13	16	13	
ENSG00000237491	15	19	30	11	16	7	23	32	25	
ENSG00000230092	1	1	4	2	2	1	3	6	3	
ENSG00000269831	0	0	0	0	0	0	0	0	0	
ENSG00000240453	3	6	10	3	3	3	11	9	7	
ENSG00000177757	0	0	0	0	0	1	0	0	0	
ENSG00000225880	7	9	11	4	7	5	10	9	9	
ENSG00000228794	37	51	80	37	34	26	70	86	50	
ENSG00000230368	3	3	3	2	1	1	3	3	3	
ENSG00000234711	0	0	0	0	0	0	0	0	0	
ENSG00000269308	0	0	0	0	0	1	0	0	0	
ENSG00000272438	17	21	29	5	11	8	19	49	21	
ENSG00000230699	4	6	6	1	3	1	4	9	4	
ENSG00000241180	1	1	1	0	1	0	0	2	0	
ENSG00000223764	21	27	24	8	11	10	42	62	43	
ENSG00000187634	42	73	90	28	57	28	97	173	128	
ENSG00000268179	0	0	2	0	0	0	1	0	0	
ENSG00000188976	90	174	273	89	132	132	184	124	137	
ENSG00000187961	42	114	109	27	56	46	87	97	96	
ENSG00000187583	21	38	53	13	22	10	23	33	25	
ENSG00000187642	2	3	3	5	7	7	1	6	6	
ENSG00000272512	3	2	6	2	3	1	5	6	4	
ENSG00000188290	91	232	167	73	134	59	202	153	176	
ENSG00000231702	0	0	0	0	0	1	0	0	0	
ENSG00000224969	1	0	0	1	0	0	0	0	0	
ENSG00000187608	84	128	91	92	132	113	85	102	73	
ENSG00000188157	613	1391	1701	420	783	454	1041	1098	1180	
ENSG00000242590	203	468	664	164	274	173	473	377	561	
ENSG00000217801	5	6	8	4	5	6	9	15	11	
ENSG00000273443	0	1	1	1	1	1	1	1	0	
ENSG00000237330	8	8	8	3	8	1	7	7	7	
ENSG00000131591	110	133	224	71	119	70	185	181	135	
ENSG00000223823	0	0	0	0	1	1	0	1	0	
ENSG00000272141	0	0	0	0	0	0	0	0	0	
ENSG00000205231	0	0	0	0	0	0	0	0	1	
ENSG00000162571	0	1	0	0	0	2	1	0	0	
ENSG00000186891	0	0	2	0	0	0	0	0	1	
ENSG00000186827	0	0	1	1	2	0	1	1	0	
